Week,akbank temettu,akbank hisse,akbnk
2016-03-27,0,58,0
2016-04-03,0,62,15
2016-04-10,0,64,18
2016-04-17,0,69,13
2016-04-24,0,38,9
2016-05-01,0,66,22
2016-05-08,15,46,11
2016-05-15,0,34,7
2016-05-22,5,49,8
2016-05-29,0,46,27
2016-06-05,0,45,0
2016-06-12,24,33,10
2016-06-19,0,55,17
2016-06-26,0,42,0
2016-07-03,0,13,6
2016-07-10,5,49,8
2016-07-17,5,43,13
2016-07-24,0,61,33
2016-07-31,0,50,0
2016-08-07,0,56,14
2016-08-14,0,27,0
2016-08-21,12,41,16
2016-08-28,0,33,22
2016-09-04,0,35,10
2016-09-11,10,12,10
2016-09-18,0,42,13
2016-09-25,0,71,24
2016-10-02,5,45,12
2016-10-09,0,32,13
2016-10-16,0,41,15
2016-10-23,0,48,11
2016-10-30,0,60,10
2016-11-06,0,51,11
2016-11-13,0,51,0
2016-11-20,0,28,8
2016-11-27,0,29,12
2016-12-04,0,46,17
2016-12-11,0,40,10
2016-12-18,0,39,10
2016-12-25,0,34,16
2017-01-01,6,40,5
2017-01-08,0,53,5
2017-01-15,0,70,17
2017-01-22,0,29,0
2017-01-29,0,52,10
2017-02-05,6,56,7
2017-02-12,8,40,0
2017-02-19,0,51,10
2017-02-26,5,42,7
2017-03-05,0,62,0
2017-03-12,0,44,12
2017-03-19,13,56,5
2017-03-26,5,51,25
2017-04-02,0,36,14
2017-04-09,0,51,0
2017-04-16,7,45,25
2017-04-23,0,40,15
2017-04-30,0,30,17
2017-05-07,7,45,0
2017-05-14,0,35,0
2017-05-21,0,42,11
2017-05-28,0,29,17
2017-06-04,5,41,14
2017-06-11,9,35,17
2017-06-18,27,42,14
2017-06-25,0,27,0
2017-07-02,31,42,6
2017-07-09,17,36,10
2017-07-16,0,26,26
2017-07-23,0,51,22
2017-07-30,5,29,0
2017-08-06,0,60,10
2017-08-13,0,39,8
2017-08-20,5,50,0
2017-08-27,0,21,0
2017-09-03,0,22,0
2017-09-10,0,40,9
2017-09-17,0,31,5
2017-09-24,9,31,17
2017-10-01,7,30,11
2017-10-08,0,23,10
2017-10-15,28,61,23
2017-10-22,0,58,11
2017-10-29,7,65,10
2017-11-05,0,65,20
2017-11-12,0,85,15
2017-11-19,0,60,15
2017-11-26,0,66,19
2017-12-03,8,70,10
2017-12-10,6,63,17
2017-12-17,6,76,9
2017-12-24,0,47,27
2017-12-31,0,57,7
2018-01-07,7,58,13
2018-01-14,0,46,14
2018-01-21,0,46,6
2018-01-28,0,100,10
2018-02-04,0,79,15
2018-02-11,0,49,4
2018-02-18,7,56,18
2018-02-25,5,56,16
2018-03-04,0,84,13
2018-03-11,7,57,17
2018-03-18,0,74,37
2018-03-25,30,87,16
