Week,tcell,tcell hisse,turkcell hisse
2016-03-27,19,14,18
2016-04-03,41,11,35
2016-04-10,28,8,17
2016-04-17,45,0,0
2016-04-24,38,0,15
2016-05-01,26,0,26
2016-05-08,19,9,12
2016-05-15,9,8,0
2016-05-22,25,0,14
2016-05-29,6,0,24
2016-06-05,10,18,0
2016-06-12,21,0,0
2016-06-19,19,0,12
2016-06-26,22,25,7
2016-07-03,24,0,20
2016-07-10,18,14,16
2016-07-17,0,0,16
2016-07-24,12,10,0
2016-07-31,22,9,11
2016-08-07,10,17,37
2016-08-14,41,9,9
2016-08-21,43,11,29
2016-08-28,33,7,26
2016-09-04,30,12,25
2016-09-11,31,0,15
2016-09-18,30,11,8
2016-09-25,24,8,0
2016-10-02,24,20,17
2016-10-09,34,0,13
2016-10-16,26,0,11
2016-10-23,22,22,16
2016-10-30,28,15,10
2016-11-06,24,15,17
2016-11-13,47,31,39
2016-11-20,47,35,43
2016-11-27,47,21,23
2016-12-04,58,24,16
2016-12-11,42,5,13
2016-12-18,32,10,21
2016-12-25,32,0,18
2017-01-01,30,14,14
2017-01-08,39,11,0
2017-01-15,15,9,0
2017-01-22,16,0,0
2017-01-29,33,8,18
2017-02-05,12,0,0
2017-02-12,23,7,10
2017-02-19,0,0,27
2017-02-26,29,6,18
2017-03-05,20,13,0
2017-03-12,28,0,11
2017-03-19,24,6,29
2017-03-26,37,12,0
2017-04-02,33,0,0
2017-04-09,22,6,10
2017-04-16,23,16,9
2017-04-23,33,6,22
2017-04-30,47,13,20
2017-05-07,34,0,24
2017-05-14,39,10,18
2017-05-21,60,18,38
2017-05-28,29,0,20
2017-06-04,50,13,24
2017-06-11,46,14,27
2017-06-18,19,15,23
2017-06-25,21,10,0
2017-07-02,40,29,15
2017-07-09,34,22,9
2017-07-16,24,0,26
2017-07-23,36,13,26
2017-07-30,18,0,20
2017-08-06,0,22,13
2017-08-13,46,12,0
2017-08-20,36,72,20
2017-08-27,9,0,0
2017-09-03,27,0,10
2017-09-10,28,14,8
2017-09-17,28,0,0
2017-09-24,34,30,12
2017-10-01,22,0,27
2017-10-08,18,0,0
2017-10-15,0,6,25
2017-10-22,29,12,45
2017-10-29,63,31,100
2017-11-05,28,11,42
2017-11-12,42,17,37
2017-11-19,13,0,29
2017-11-26,18,0,17
2017-12-03,30,8,28
2017-12-10,44,9,23
2017-12-17,15,13,32
2017-12-24,24,7,13
2017-12-31,25,0,19
2018-01-07,35,8,6
2018-01-14,38,16,15
2018-01-21,32,24,28
2018-01-28,36,13,40
2018-02-04,23,9,0
2018-02-11,24,10,35
2018-02-18,36,0,17
2018-02-25,22,14,17
2018-03-04,29,11,15
2018-03-11,45,10,38
2018-03-18,27,7,18
2018-03-25,23,9,25
